#name, set, plus, chalice, fashion
Arianna's Shoes, NO_SET, False, False, True
Ashen Hunter Trousers, Ashen Hunter, False, False, False
Black Church Trousers/Dress, Black Church, False, False, False
Bloodied Trousers, Brador, False, False, False
Bone Ash Leggings, Bone Ash, False, True, False
Butcher Trousers, Butcher, False, False, False
Cainhurst Leggings, Cainhurst, False, False, False
Charred Hunter Trousers, Charred, False, False, False
Choir Trousers, Choir, False, False, False
Constable Trousers, Constable, False, False, False
Crowfeather Trousers, Crowfeather, False, False, False
Decorative Old Hunter Trousers, Decorative Old Hunter, False, False, False
Doll Skirt, Doll, False, False, True
Executioner Trousers, Executioner, False, False, False
Foreign Trousers, Foreign, False, False, False
Gascoigne's Trousers, Gascoigne, False, False, False
Gehrman's Hunter Trousers, Gehrman, True, False, False
Graveguard Kilt, Graveguard, False, False, False
Harrowed Trousers, Harrowed, False, False, False
Henryk's Hunter Trousers, Henryk, False, False, False
Hunter Trousers, Hunter A, False, False, False
Hunter Trousers, Hunter B, False, False, False
Knight's Trousers/Dress, Knight, False, False, False
Madman Leggings, Madman, True, False, False
Maria Hunter Trousers, Maria, False, False, False
Student Trousers, NO_SET, False, False, True
Tomb Prospector Trousers, Tomb Prospector, False, False, False
Wine Hakama, Yamamura, False, False, False
White Church Trousers/Dress, White Church, False, False, False
Yahar'gul Black Trousers, Yahar'gul, False, False, False
Yharnam Hunter Trousers, Yharnam Hunter, False, False, False
